Valor,Frecuencia
0,18
1,63
2,114
3,255
4,342
5,351
6,821
7,4479
8,13673
9,362
10,342
11,406
12,722
13,1001
14,1414
15,8124
16,8802
17,554
18,624
19,1229
20,1205
21,1225
22,4142
23,10834
24,722
25,835
26,1107
27,1583
28,1437
29,2135
30,4750
31,6160
32,958
33,962
34,2112
35,1717
36,1657
37,2487
38,3449
39,3682
40,991
41,1203
42,2223
43,1726
44,2178
45,2436
46,2311
47,1809
48,1184
49,1726
50,2102
51,1763
52,1829
53,2160
54,1496
55,1124
56,1328
57,1969
58,1660
59,1597
60,1565
61,1257
62,1274
63,1052
64,1457
65,1666
66,1387
67,1289
68,1365
69,962
70,1007
71,972
72,1407
73,1261
74,1182
75,1173
76,997
77,873
78,1015
79,999
80,1032
81,1097
82,994
83,901
84,884
85,792
86,956
87,911
88,907
89,847
90,896
91,859
92,940
93,872
94,763
95,832
96,902
97,936
98,924
99,818
100,864
101,824
102,939
103,916
104,883
105,930
106,903
107,869
108,959
109,896
110,907
111,899
112,907
113,928
114,1049
115,1039
116,910
117,900
118,927
119,1037
120,1045
121,1036
122,1025
123,915
124,963
125,989
126,994
127,1063
128,1106
129,1097
130,1033
131,990
132,966
133,958
134,1115
135,1021
136,1079
137,1009
138,983
139,959
140,976
141,977
142,1105
143,1054
144,987
145,913
146,882
147,967
148,1042
149,957
150,987
151,956
152,913
153,847
154,876
155,897
156,956
157,914
158,907
159,812
160,813
161,851
162,851
163,843
164,829
165,743
166,729
167,785
168,791
169,659
170,660
171,751
172,734
173,661
174,616
175,600
176,681
177,659
178,658
179,553
180,609
181,553
182,585
183,522
184,529
185,582
186,522
187,499
188,494
189,460
190,486
191,443
192,445
193,455
194,449
195,405
196,384
197,385
198,387
199,359
200,317
201,317
202,311
203,338
204,295
205,284
206,252
207,251
208,236
209,216
210,214
211,211
212,171
213,181
214,181
215,174
216,184
217,150
218,123
219,128
220,131
221,119
222,118
223,110
224,112
225,99
226,90
227,111
228,73
229,89
230,82
231,63
232,76
233,64
234,62
235,54
236,64
237,55
238,45
239,35
240,45
241,24
242,23
243,34
244,25
245,28
246,23
247,17
248,19
249,18
250,15
251,7
252,3
253,2
254,2
255,3
